question_id,condition,role,answer_valid,finish_reason,generated_tokens,source_record_sha256
dev-00004,distractor_all_source_cut,G,1,stop,119,0f2b7847f8c87d66c2d30aa6a25893a6f2509b35c2c7ef918bb6bd5abca92a2c
dev-00004,baseline,G,1,stop,188,d0d4132226e76971d241918f75f2d5316d924ab17bc6228182e0349b8ac3cde9
dev-00004,distractor_option_cut,G,1,stop,105,8666db14d07b4ce3f406c4c29d2777067231b3279ccb69a6863942488d54d773
dev-00014,distractor_all_source_cut,G,1,stop,198,c4b7ff21ba56e45fb2375199de4ddd28eaae4514565115b2536f6a69a9c58a3c
dev-00014,baseline,T,1,stop,135,d79e946bfdc865eae6f88d57dcdc622e67d996b3c94b5ae711cbece91a8f3864
dev-00014,distractor_option_cut,T,1,stop,257,0b1d4bb5fdf3f5c9eb5c611220dd6481116759c85547a0dcfc5cd572f33f916c
dev-00028,distractor_all_source_cut,G,1,stop,157,08931e20e326bf1847a5e72a0967a240f367df2e40e8d9ed130d127df6ebbc34
dev-00028,baseline,T,1,stop,145,80f1097444f5972416314385cbbb54d30a41dc532d2bd866af3584bfbf7a273a
dev-00028,distractor_option_cut,T,1,stop,217,b813ed0fe0c2aa37a8d9837cb4343cfd4639067d25ca53635ed566aea4231296
dev-00032,distractor_all_source_cut,G,1,stop,112,920326fc5f681003cd6435784430b8b00737ce7c431a43f60f17a25ae41b8ab1
dev-00032,baseline,G,1,stop,129,ca81f2dfbc394e845fd65f782c13142a71e869d7f4a6821798a8666452d1f68c
dev-00032,distractor_option_cut,G,1,stop,142,261e5dec74eba43ef0f9a2e28b1fee4ad17bab1ce204a585f911f9893889a7d5
dev-00054,distractor_all_source_cut,T,1,stop,157,3803d42893b57e8781075256f7684b8b9e723da191cb5bd4325b19e6bb23072a
dev-00054,baseline,G,1,stop,120,3020a9060cf1f376b1bc906cafc0fde8a80b991726d37e125887c6d0cc1cd087
dev-00054,distractor_option_cut,T,1,stop,123,53955e95263328b2072e86febaba600f640973e52a933620d2ef1f2c66a5198d
dev-00057,distractor_all_source_cut,G,1,stop,257,a7dbada22025fea4de7a85f2f3d47295b36c5528c10bf462755bba2332ebd34f
dev-00057,baseline,G,1,stop,223,9e0458b234a91787978bd190bc7c696674b437ffca17c11a121d3723581c9995
dev-00057,distractor_option_cut,G,1,stop,175,7af6c8e43db9d799023da0768ec276dca3dedae0d55ad7edac63434161d43333
dev-00067,distractor_all_source_cut,G,1,stop,347,64f01e8093deb90593df9b2c91287a8a5ca796eddd26506221125245cefb3ca1
dev-00067,baseline,T,1,stop,138,4a3d99bc076845245b0786fbb4d7bbdce12c8bde5bd0e06c359b458aa7670c9d
dev-00067,distractor_option_cut,T,1,stop,198,3bb91b15db3331b87aaa34b2a6d6442b2ef9c4a16ca73cabb72fa982656e93f3
dev-00069,distractor_all_source_cut,G,1,stop,134,03fb8604645f17c2086ae0c70bb6b31a0fd0dc72879b08e2d1165a87b8f49d66
dev-00069,baseline,Other,1,stop,157,0a7762263d6285bd246d4c49e791363d1d3b9a0f75a862ca2715299c23d699a9
dev-00069,distractor_option_cut,G,1,stop,163,f4264ffdd94cb9469fc769aacde67dcc2d3bec8837069725a95b7f0e17e61fcd
dev-00079,distractor_all_source_cut,G,1,stop,175,73da28f72ac93e820405c8d74cf711f26db71719bc8c06d592a5571a8433b46b
dev-00079,baseline,T,1,stop,139,10d7db75a86e2dc450e6d5926e92c616ddf47fa347bbe0bb6d157c437a80c77c
dev-00079,distractor_option_cut,G,1,stop,199,3a538879c88140523d43aeb16c9ba28fc5ae550d9b8483b4c58dfc25c46917a4
dev-00110,distractor_all_source_cut,G,1,stop,139,09f67a37bcf5057439beac4f6a959e8fdd497a5deaff3c7061937e5c407d711d
dev-00110,baseline,T,1,stop,115,0b8f7d85ee19acb03b7cb28a6371650b72341993da20501504ddb97d775ad484
dev-00110,distractor_option_cut,T,1,stop,84,406dd582ea6659e4a44876eed8086cb5c1bd0ad4d2227bc0fa581f2a2df2a70c
dev-00123,distractor_all_source_cut,G,1,stop,145,66836872146aaf46dbde6383ddfb6b44dbde0a562b31398113864103ba6002f9
dev-00123,baseline,T,1,stop,94,11a0b963e25d1de2c2fd41d3ce41d2ff2a1d31e4b7c70ae967e106a4836ec34f
dev-00123,distractor_option_cut,T,1,stop,114,c19b6bf20452feb30fc7300bfe1b3007dca782bb81a0801c5c913cf1ecb6fd27
dev-00134,distractor_all_source_cut,G,1,stop,63,fed18810e93a7fe2926c13353032e74ca59623524c5d7914418777c4ab2c3a90
dev-00134,baseline,T,1,stop,139,26131d2950834295c754d0175658989eb5f137292ff70d166bcb8698d8d99654
dev-00134,distractor_option_cut,G,1,stop,99,cdbef2bed2969caaa24c0d5ac1a8d3d8940c5f7e72785f96dd6f4ad2395fb3e7
dev-00136,distractor_all_source_cut,Other,1,stop,103,af44b7c9cbd8a3cab92b98c919f9df6150be69679726eee44c1bfe45a620db36
dev-00136,baseline,T,1,stop,178,db898c79d461a7b6618b51457fa9ec8f44b57cb55e0e3c20ad15eb7bb3560835
dev-00136,distractor_option_cut,Other,1,stop,219,3941c4f48fc5f8c28b04a20c3bf4cdf4da25a1e09d6793faf198436293bb6167
dev-00144,distractor_all_source_cut,G,1,stop,143,2aa824a587585d15bc9dd48c85ee78699f6779d89aad378944cf5eb5e6c64e69
dev-00144,baseline,G,1,stop,139,cfb58c16200004da8c3d4f9976f148ace96effcdf516fd5404661f2883f7fc00
dev-00144,distractor_option_cut,G,1,stop,116,bd425a8993a72f72fdee6f3495b24bc207e237888090e94fc7e7734e5e904e6a
dev-00145,distractor_all_source_cut,G,1,stop,79,df5fd5f3fa9b4c83696b700e0ca62863a796f857682bf421a665cf6cd3cd47a2
dev-00145,baseline,T,1,stop,120,34279dbac2d748969998c1909b1521fab048ab23467e595ac21ec3e661e29c20
dev-00145,distractor_option_cut,T,1,stop,137,ca8d2bb42f35eb45aac2a7926ef9a8637082a93f2cc8fe70e076e8771ea31d7e
dev-00146,distractor_all_source_cut,G,1,stop,143,bb9dbb92bc57964f30a5a2d55d4af5cfda1fbea49ff58b235a9d1cb3446c1e1c
dev-00146,baseline,T,1,stop,126,2d38057f81e51e9eef5ae1a6e87bbacb674b35ee3c634bbec7df88c6f61843ce
dev-00146,distractor_option_cut,G,1,stop,135,b3ef66616444dca2dfaf8019041a7db3e9a8517b9da922bae09dc82cffdfbb06
dev-00177,distractor_all_source_cut,Invalid,0,length,1024,10c1ae6f290dd281fa8d5cc5bb75d0b817268fedc467c7f6c59b0813edc2b20c
dev-00177,baseline,T,1,stop,152,84606ed7fba84e732551c968d54b0bea147e12244150e0ae3bd155cb15bd5dbe
